OBJECTID,ZONE_CODE,PDR,PDR_DENSIT,CASE_NO,LABEL,EDITOR,ACTION_,COMMENT_,ACRES,BOC_DATE,CITY_COUNC,MAP_EDIT_D,ERROR_FIX_,UDO,ZONE_GEN,UDO_LABEL,DEVELOP_PL,UDO_LEGEND,IN_DATE,PDR_RNG,GlobalID,ShapeSTArea,ShapeSTLength
2031,RM-12, ,0,,RM-12, , ,P89-43,75.73846596,,1989/09/18 05:00:00+00,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{44320B9A-CA20-47BC-916D-A734A3A6D325},3299157.29772949,13381.5206975488
2032,SC, ,0,P633,SC, , , ,17.22922587,,,,,CC,COMMERCIAL,CC, ,16 - CC,,,{F94A7F89-2ACC-4355-A1D3-09681619C344},750502.740112305,4053.66316173333
2033,R-3, ,0, ,R-3, , , ,10.01463564,,,,,RU-5(2),RES_HIGH_DENSITY,RU-5(2), ,12 - RU-5(2),,,{841C43B9-C2F9-45F4-BF94-347C42971125},436236.169555664,3068.69186284029
2034,PDR,Y,9.80000019,P86-38,PDR   9.800, , , ,13.01540487,,1986/09/02 05:00:00+00,,,PDR,RES_HIGH_DENSITY,PDR 9.800,(D), 4 - PDR-HDR (8 - 12 du/ac),,PDR-HDR,{8345553F-04E4-4AF7-9917-5A8E35989B65},566949.269775391,3593.5942092458
2035,CT, ,0, ,CT, , , ,8.58838123,,,,,IL,COMMERCIAL,IL, ,21 - IL,,,{56962C26-6AFA-43FA-8755-EA5341BE4C93},374108.720825195,3245.96736454503
2036,OI, ,0,Z1100027,OI,Wadeg,RU-M to CI, ,0.24788494,,2012/03/19 05:00:00+00,2012/03/20 05:00:00+00,,CI,COMMERCIAL_INFILL,CI, ,44 - CI,,,{2FFA0CA7-8E1E-4A0A-B363-1D68A9762758},10797.8342285156,426.530733883714
2037,RD, ,0, ,RD,LDW ,Z16-13 ,"Z07-48;P02-15;P04-54;P02-09;86-12;91-11;91-57;91-58;93-39;P94-48;97-16;03-41",8.04445335,,2016/11/07 05:00:00+00,2017/03/16 05:00:00+00,,RR,RES_RURAL_DENSITY,RR, , 6 - RR,,,{21F93331-3CF6-475D-9BB7-12C166D43B85},350415.296020508,3687.50318971711
2038,PDR,Y,7.90000009,Z07-42,PDR 7.9, , ,P04-69,36.23937995,2008/11/24 05:00:00+00,,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,2008/11/24 05:00:00+00,,{810AF557-DFFE-42F3-A2CB-B55CF39DFF7D},1578582.47216797,5433.46636804356
2039,PDR,Y,2.10999989,P96-19,PDR   2.110, , , ,53.85557784,1996/06/10 05:00:00+00,,,,PDR,RES_LOW_DENSITY,PDR 2.110,(D), 2 - PDR-LDR (2 - 4 du/ac),,PDR-LDR,{D0DAD5B1-737D-41B5-890E-4B1CA39A9B02},2345941.66027832,7770.62751377034
2040,R-20, ,0,P99-15,R-20, , , ,9.1110378,,2000/02/07 05:00:00+00,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{056A5B13-3A31-4B92-9897-C7B430DFF843},269933.937011719,2240.8477121186
2041,CT, ,0,P97-56,CT(D), , , ,0.52081568,,1997/10/06 05:00:00+00,,,IL,COMMERCIAL,IL(D),(D),21 - IL,,,{FD126C9B-8903-4181-88DB-E1A922FB1C36},22686.6606445312,653.816538397828
2042,RM-20, ,0, ,RM-20, , , ,34.15078353,,,,,RU-M,RES_HIGH_DENSITY,RU-M, ,13 - RU-M,,,{E03A7C73-2C97-40A2-B062-C2B6FD340AA2},1487603.49523926,7038.53617706108
2043,R-20, ,0,Z17-41 ,R-20,LDW,Z1700041 , ,3.71762144,,2018/05/21 05:00:00+00,2018/05/29 05:00:00+00,,CG,COMMERCIAL,CG, ,19 - CG,,,{41FE10BF-C580-4039-9183-62A62325D2FE},161939.085205078,1634.3612190679
2443,R-20, ,0, ,R-20, , , ,33.34555619,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{6E7E3C94-F554-4C57-B41B-3ACE4F39AD9A},1452527.9017334,5305.95811628411
2444,R-20, ,0,P96-71 ,R-20,LDW , , ,12.88428245,,,2018/07/19 05:00:00+00,2018/07/19 05:00:00+00,RS-20,RES_LOW_DENSITY,RS-20,(D) , 7 - RS-20,,,{8D31D3B4-93F1-41C4-AA9E-F7FC3DD28140},561237.594970703,3588.37091670451
2843,R-20, ,0,Z1700040,R-20, LDW,P02-66,"P80-22;P83-45;P91-55;P91-59;P93-31;P02-44;P03-68",6.84086889,,2018/09/06 05:00:00+00,2018/08/13 05:00:00+00,,RS-20,RES_LOW_DENSITY,PDR 3.940,(D), 2 - PDR-LDR (2 - 4 du/ac),,,{0AA7EE6F-175E-4444-AF44-5CB875B3CF4B},297987.320678711,2364.64539320932
3246,,,,Z1700043,,Quaye Trimble,,Z1300013,23.30983282,2018/08/13 05:00:00+00,,2018/09/18 05:00:00+00,,RS-20,RES_LOW_DENSITY,RS-20(D),(D), 7 - RS-20,,,{CBB5D7BB-1D3C-4820-87DA-91F346D6886F},1015373.1541748,5347.59291133177
3648,,,,Z1700054,,Quaye Trimble, ,Z1300013,6.57271411,,2018/09/17 05:00:00+00,2018/10/02 05:00:00+00,,RS-20,RES_LOW_DENSITY,RS-20(D),(D), 7 - RS-20,,,{A35D7E07-7BF6-47FE-BF0F-EDC4185A6EE7},286306.534301758,2701.10562622433
3650,, ,,Z1800003,,Quaye Trimble, ,"P80-40;P87-63;P89-16;P94-53;P99-17",7.27314855,2018/09/17 05:00:00+00,,2019/01/11 05:00:00+00,,IL,INDUSTRIAL,IL(D),(D),21 - IL,,,{5FCF3477-4A3F-4B96-879A-561149BF4EDA},316817.363769531,3826.41022385276
3663,R-20, ,0,,R-20, , ,"P97-34;P04-50",7.5e-07,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{FCA23671-690D-4900-95CF-427D173E30A2},0.0325927734375,3.98390943237982
